"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"vpp_focus_on_game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[按住/雙擊] 聚焦遊戲","[Hold/2xTap] Focus On Game","[Hold/2xTap] Focus On Game","[按住/双击] 聚焦游戏",
"vpp_settings_collapseesp","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[雙擊] 展開/摺疊 ESP 玩家詳情","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[双击] 展开/折叠 ESP 玩家详情",
"vpp_settings_toggleplayerdetail","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[雙擊] 展開/摺疊 ESP 玩家詳情","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[双击] 展开/折叠 ESP 玩家详情",
"vpp_settings_openadmintools","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","打開工具欄","Open Toolbar","Open Toolbar","打开工具栏",
"vpp_settings_toggleadmintools","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","切換工具、快捷鍵和權限","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","切换工具、快捷键和权限",
"vpp_settings_teleporttocrosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","傳送到準星位置","Teleport to Crosshair","Teleport to Crosshair","传送到准星位置",
"vpp_settings_deleteobjectatcrosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","刪除準星處的對象","Delete Object at Crosshair","Delete Object at Crosshair","删除准星处的对象",
"vpp_settings_togglegodmode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","切換上帝模式","Toggle GodMode","Toggle GodMode","切换上帝模式",
"vpp_settings_copyposition","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","複製座標到剪貼板","Copy position to clipboard","Copy position to clipboard","复制坐标到剪贴板",
"vpp_settings_repairvehicle","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","修復準星處的載具","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","修复准星处的载具",
"vpp_settings_togglefreecam","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","切換自由相機","Toggle Free Camera","Toggle Free Camera","切换自由相机",
"vpp_settings_exitspectate","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","Exit Spectate Mode","退出觀戰模式","Exit Spectate Mode","Exit Spectate Mode","退出观战模式",
"vpp_settings_selectobject","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","選擇並移動世界對象（物體構建器）","Select & move world objects (Object Builder)","Select & move world objects (Object Builder)","选择并移动世界对象（物体构建器）",
"vpp_settings_deselectobject","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[雙擊] 取消選擇（物體構建器）","[Double Tap] Deselect (Object Builder)","[Double Tap] Deselect (Object Builder)","[双击] 取消选择（物体构建器）",
"vpp_settings_incrementaxis","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","Increment Axis (Object Builder)","增加軸向（物體構建器）","Increment Axis (Object Builder)","Increment Axis (Object Builder)","增加轴向（物体构建器）",
"vpp_settings_decrementaxis","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","減少軸向（物體構建器）","Decrement Axis (Object Builder)","Decrement Axis (Object Builder)","减少轴向（物体构建器）",
