"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_VPPAT_NAME","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","DAYZ遊戲管理工具","Vanilla++ AdminTools","Vanilla++ AdminTools","DAYZ游戏管理工具",
"VSTR_SESSION_DISCONNECT","Session Disconnect","Session Disconnect","Odpojení relace","Sitzung getrennt","Отключение сессии","Rozłączenie sesji","Munkamenet megszakadt","Disconnessione sessione","Desconexión de sesión","Déconnexion de session","會話中斷","セッション切断","Desconexão da sessão","会话断开",
"VSTR_ERROR_UPDATE_BUILDINGSET","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Něco se pokazilo! Nelze aktualizovat sadu","Etwas ist schiefgelaufen! Set konnte nicht aktualisiert werden","Что‑то пошло не так! Не удаётся обновить набор","Coś poszło nie tak! Nie można zaktualizować zestawu","Valami hiba történt! Nem sikerült frissíteni a készletet","Qualcosa è andato storto! Impossibile aggiornare il set","¡Algo salió mal! No se puede actualizar el conjunto","Un problème est survenu! Impossible de mettre à jour l'ensemble","發生問題!無法更新集合","問題が発生しました! セットを更新できません","Algo deu errado! Não foi possível atualizar o conjunto","出现问题！无法更新集合",
"VSTR_ERROR_DELETE_BUILDINGSET","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Něco se pokazilo! Nelze odstranit sadu!","Etwas ist schiefgelaufen! Set konnte nicht gelöscht werden!","Что‑то пошло не так! Не удаётся удалить набор!","Coś poszło nie tak! Nie można usunąć zestawu!","Valami hiba történt! Nem sikerült törölni a készletet!","Qualcosa è andato storto! Impossibile eliminare il set!","¡Algo salió mal! ¡No se puede eliminar el conjunto!","Un problème est survenu! Impossible de supprimer l'ensemble!","發生問題!無法刪除集合!","問題が發生しました! セットを削除できません!","Algo deu errado! Não foi possível excluir o conjunto!","出现问题！无法删除集合！",
"VSTR_MISSING_PERM","You may not have the permission to use that command on some","You may not have the permission to use that command on some","Možná nemáte oprávnění použít tento příkaz na některých","Möglicherweise hast du nicht die Berechtigung, diesen Befehl auf einigen zu verwenden","Возможно, у вас нет прав использовать эту команду на некоторых","Możliwe, że nie masz uprawnień, aby użyć tej komendy na niektórych","Lehet, hogy nincs jogosultságod ezt a parancsot néhány esetben használni","Potresti non avere l'autorizzazione per usare quel comando su alcuni","Es posible que no tengas permiso para usar ese comando en algunos","Il se peut que vous n'ayez pas l'autorisation d'utiliser cette commande dans certains cas","您可能沒有權限在某些目標上使用此指令","一部の対象に対してそのコマンドを使う権限がない可能性があります","Talvez você não tenha permissão para usar esse comando em alguns alvos","您可能没有权限在某些目标上使用该命令",
"VSTR_UPDATED_PERM_SETTING","Settings updated for group","Settings updated for group","Nastavení skupiny aktualizována","Einstellungen für die Gruppe aktualisiert","Настройки группы обновлены","Ustawienia zaktualizowane dla grupy","A csoport beállításai frissítve","Impostazioni aggiornate per il gruppo","Ajustes actualizados para el grupo","Paramètres mis à jour pour le groupe","已更新該群組的設定","グループの設定を更新しました","Configurações atualizadas para o grupo","已更新组的设置",
"VSTR_PERMS_REMOVE_USER","Removing User:","Removing User:","Odebírám uživatele:","Entferne Benutzer:","Удаление пользователя:","Usuwanie użytkownika:","Felhasználó eltávolítása:","Rimozione utente:","Eliminando usuario:","Suppression de l'utilisateur:","正在移除使用者:","ユーザーを削除中:","Removendo usuário:","正在移除用户：",
"VSTR_FROM_GROUP","from group:","from group:","ze skupiny:","aus Gruppe:","из группы:","z grupy:","ebből a csoportból:","dal gruppo:","del grupo:","du groupe:","自群組:","グループから:","do grupo:","从组：",
"VSTR_ERROR_USER_SUPERADMIN","Error: User is a Super Admin","Error: User is a Super Admin","Chyba: Uživatel je Super Admin","Fehler: Benutzer ist Super-Admin","Ошибка: Пользователь — Super Admin","Błąd: Użytkownik jest Super Adminem","Hiba: A felhasználó Super Admin","Errore: l'utente è Super Admin","Error: el usuario es Super Admin","Erreur: l'utilisateur est Super Admin","錯誤: 使用者是 Super Admin","エラー: ユーザーは Super Admin です","Erro: o usuário é Super Admin","错误：用户是超级管理员",
"VSTR_ERROR_INVALID_GROUP","Error: Invalid UserGroup","Error: Invalid UserGroup","Chyba: Neplatná uživatelská skupina","Fehler: Ungültige Benutzergruppe","Ошибка: Недопустимая группа пользователей","Błąd: Nieprawidłowa grupa użytkowników","Hiba: Érvénytelen felhasználói csoport","Errore: Gruppo utenti non valido","Error: Grupo de usuarios no válido","Erreur: groupe d'utilisateurs invalide","錯誤: 無效的使用者群組","エラー: 無効なユーザーグループ","Erro: Grupo de usuários inválido","错误：无效的用户组",
